Project,State,Period,Location,Class,Tag,Depth,Latitude,Longitude,Vel_Direction_Rad,Vel_Direction_Deg,Count,Mean,Std,Min,25%,50%,75%,Max,C_Var,Second_Raw_Moment,Third_Raw_Moment,Fourth_Raw_Moment,Fifth_Raw_Moment,Sixth_Raw_Moment,Seventh_Raw_Moment,Second_Central_Moment,Third_Central_Moment,Fourth_Central_Moment,Fifth_Central_Moment,Sixth_Central_Moment,Seventh_Central_Moment,Skewness,Kurtosis,ADF_Statistic,BP_Statistic
IITCA-UAEMex,Quintana Roo,2009-2014,Cozumel,Ajuste de HYCOM GOMl0.04/expt_31.0,HA153,50,20.35762787,-87.2800293,0.3261519419648238,18.68712975458017,43722.0,0.1263000524909656,0.0670092418031417,0.00023321,0.0725765,0.12088,0.1727075,0.44831,0.53055593,0.0204418390465021,0.0038527776871192,0.0008088778366305,0.0001849595679368,4.55108013259829e-05,1.1968600906234598e-05,0.0044901357872815,0.0001367635712836,5.557613279849682e-05,5.446385812131702e-06,1.3775586001865172e-06,2.4626933816839177e-07,0.454565133,-0.243318384,-18.12856451,327.2711601
IITCA-UAEMex,Quintana Roo,2009-2014,Cozumel,Ajuste de HYCOM GOMl0.04/expt_31.1,HA154,50,20.32012177,-87.2800293,0.2722603454736103,15.599368724411596,43722.0,0.1547840567892594,0.0815047636934644,0.00050941,0.08972225,0.14964,0.2116575,0.49898,0.526570794,0.0306009788030221,0.0070194184898829,0.0017912003380712,0.0004978733392319,0.0001489013980012,4.750871393256521e-05,0.0066428745668814,0.0002264527006207,0.0001221004209838,1.3939073594474148e-05,4.335502556951108e-06,8.788371336867325e-07,0.418271551,-0.232915541,-17.98437681,795.7235809
IITCA-UAEMex,Quintana Roo,2009-2014,Cozumel,Ajuste de HYCOM GOMl0.04/expt_31.2,HA155,50,20.28260803,-87.2800293,0.1433516466666278,8.21344434024839,43722.0,0.1883908337697269,0.0894240909892324,0.00044279,0.1200825,0.186025,0.24977,0.58469,0.474673259,0.0434875913996646,0.0114173263348835,0.0033003443478242,0.0010333222361011,0.0003471979012129,0.000124447173528,0.0079964851512117,0.0002117337227354,0.000178346330137,1.822000584362552e-05,7.550421297684593e-06,1.56880600076663e-06,0.296112152,-0.210775179,-17.58573959,958.7435504
IITCA-UAEMex,Quintana Roo,2009-2014,Cozumel,Ajuste de HYCOM GOMl0.04/expt_31.3,HA156,50,20.24508286,-87.2800293,0.2353266380116321,13.483223165069411,43722.0,0.2347632509034354,0.1000064678057124,0.00075215,0.163895,0.23476,0.302825,0.68498,0.425988597,0.0651148488303293,0.0201570307936858,0.0068020322929869,0.0024733964708509,0.0009632130112165,0.0004002465602448,0.01000106485558,0.0001746922042078,0.0002932787020949,2.575456530260199e-05,1.6186780729060798e-05,3.384791295490689e-06,0.174670297,-0.067707993,-16.65169147,1038.569709
IITCA-UAEMex,Quintana Roo,2009-2014,Cozumel,Ajuste de HYCOM GOMl0.04/expt_31.4,HA157,50,20.20755005,-87.2800293,0.2353266380116321,13.483223165069411,43722.0,0.2852472477242578,0.1094116267632061,0.0019947,0.21061,0.285895,0.3591675,0.7756,0.383567686,0.0933366226093413,0.0335764625100564,0.0130377770130904,0.0054123543755689,0.0023890884701542,0.0011176936831944,0.0119706302750772,0.0001232691198831,0.0004326903286572,2.816417900937777e-05,2.8134391799165487e-05,4.959653407157943e-06,0.094122547,0.019695932,-16.42786481,726.5273065
IITCA-UAEMex,Quintana Roo,2009-2014,Cozumel,Ajuste de HYCOM GOMl0.04/expt_31.5,HA179,50,20.39512634,-87.23999023,0.5734784421284997,32.85789437570046,43722.0,0.2698217355404602,0.1025770741045059,0.0016279,0.19991,0.2760749999999999,0.34386,0.60438,0.38016609,0.0833255844437459,0.0279964031254359,0.0100063333104892,0.0037578432106493,0.001471423317509,0.0005975546342085,0.0105218154736799,-0.0001646797083882,0.0002875142557962,-7.221397467507568e-06,1.1397959383826152e-05,-1.868013916314396e-07,-0.152587504,-0.402872537,-17.03641014,523.9129165
IITCA-UAEMex,Quintana Roo,2009-2014,Cozumel,Ajuste de HYCOM GOMl0.04/expt_31.6,HA180,50,20.35762787,-87.23999023,0.2110394918595917,12.091672194140097,43722.0,0.2724963834385435,0.0890286370721959,0.0050311,0.2121175,0.27703,0.3348775,0.59337,0.326714931,0.0821801959220374,0.0266196399967957,0.0091161763676572,0.0032703049536677,0.0012218415056811,0.0004736398556693,0.0079259169349517,-9.373358264772508e-05,0.0001734471849799,-2.607067935280387e-06,5.915873840122084e-06,3.51535298679323e-08,-0.132842134,-0.238878544,-17.18206683,802.2477145
IITCA-UAEMex,Quintana Roo,2009-2014,Cozumel,Ajuste de HYCOM GOMl0.04/expt_31.7,HA181,50,20.32012177,-87.23999023,0.260332338783555,14.91594428306762,43722.0,0.3224162683774759,0.0993353037490522,0.012631,0.25742,0.32482,0.39102,0.7255,0.308096438,0.1138195269980171,0.042965549933499,0.0171273917420396,0.0071564297902103,0.0031197283728136,0.0014147671812858,0.0098672768835606,-9.445841338094354e-05,0.0002887873475267,-2.0864362759446285e-06,1.4067689714868488e-05,4.182757723987859e-07,-0.096373931,-0.033782051,-16.40438519,811.8344074
IITCA-UAEMex,Quintana Roo,2009-2014,Cozumel,Ajuste de HYCOM GOMl0.04/expt_31.8,HA182,50,20.28260803,-87.23999023,0.1927882045145676,11.045950458589688,43722.0,0.3581978899935959,0.1046667565688001,0.0085773,0.29115,0.36158,0.42841,0.79472,0.292203722,0.1392606077631663,0.0575860572930678,0.0250622230808212,0.0114079587363806,0.0054094785859446,0.002665407638967,0.0109548793673021,-0.000144827915928,0.0003739286969552,-7.439307468929811e-06,2.1569016020215343e-05,1.708491910630415e-07,-0.126315249,0.11597936,-14.62729399,522.0694804
IITCA-UAEMex,Quintana Roo,2009-2014,Cozumel,Ajuste de HYCOM GOMl0.04/expt_31.9,HA183,50,20.24508286,-87.23999023,0.2449552699180621,14.034903135792854,43722.0,0.4054381243653081,0.1188719607779881,0.002828,0.33128,0.40923,0.4833975,0.88439,0.293193841,0.1785102925573791,0.0835448934829768,0.0411394439235256,0.0211884446257904,0.011370829413036,0.0063421805292044,0.0141302198685201,-0.0002878443921138,0.0006490885735404,-2.6707692968308028e-05,5.018229503803508e-05,-1.526464975116564e-06,-0.17137572,0.251084761,-14.43586504,373.7005815
