HA153,HA154,HA155,HA156,HA157,HA179,HA180,HA181,HA182,HA183,HA184,HA203,HA204,HA205,HA206,HA207,HA208,HA209,HA210,HA211,HA229,HA230,HA231,HA232,HA233,HA234,HA235,HA236,HA237,HA238,HA256,HA257,HA258,HA259,HA260,HA261,HA262,HA263,HA264,HA265,HA282,HA283,HA284,HA285,HA286,HA287,HA288,HA289,HA290,HA291,HA292,HA308,HA309,HA310,HA311,HA312,HA313,HA314,HA315,HA316,HA317,HA318,HA319,HA334,HA335,HA336,HA337,HA338,HA339,HA344,HA345,HA346,HA360,HA361,HA362,HA363,HA364,HA365,HA371,HA372,HA373,HA386,HA387,HA388,HA389,HA390,HA391,HA397,HA398,HA399,HA400,HA412,HA413,HA414,HA415,HA416,HA417,HA423,HA424,HA425,HA426,HA427,HA439,HA440,HA441,HA442,HA443,HA444,HA445,HA449,HA450,HA451,HA452,HA453,HA454,HA466,HA467,HA468,HA469,HA470,HA471,HA472,HA475,HA476,HA477,HA478,HA479,HA480,HA481,HA493,HA494,HA495,HA496,HA497,HA498,HA500,HA501,HA502,HA503,HA504,HA505,HA506,HA507,HA508,HA520,HA521,HA522,HA523,HA524,HA525,HA526,HA527,HA528,HA529,HA530,HA531,HA532,HA533,HA534,HA535,HA547,HA548,HA549,HA550,HA551,HA552,HA553,HA554,HA555,HA556,HA557,HA558,HA559,HA560,HA561,HA562,HA574,HA575,HA576,HA577,HA578,HA579,HA580,HA581,HA582,HA583,HA584,HA585,HA586,HA587,HA588,HA589
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.6,0.6,0.7,0.8,0.8,0.8,0.9,0.9,1,0.6,0.8,0.9,1,1,1,1,1,1.1,1.1,1.1,1.1,1.2,1.3,1.2,1.2,1.2,1.1,1.2,1.2,1.3,1.4,1.6,1.7,1.6,1.5,1.4,1.3,1.2,1.2,1.3,1.6,2.2,2.2,2.1,1.8,1.4,1.2,1.2,1.2,1.1,1.2,1.3,0.9,2.1,2.1,1.9,1.2,0.7,0.8,1.2,1.2,1,2,2.3,2.2,1.6,0.6,1.2,1.1,1.3,0.6,1.8,2.3,2.4,1.7,0.7,1.2,1.7,1.2,1.3,0.7,1.3,2.3,2.2,2.1,1,1.2,1.6,1.7,1.3,1.4,1.4,2.1,2.4,1.9,1.7,0.6,0.6,1,1.6,1.8,1.5,1.4,1.5,2,2.2,2,1.3,1.2,0.6,0.6,0.8,1.9,1.7,1.6,1.4,1.4,1.4,2.2,2,1.5,1,0.7,0.6,0.7,1,2,2,1.6,1.5,1.4,1.4,1.4,2,1.5,1.1,0.7,0.6,0.7,1,1.5,1.9,2.3,1.7,1.5,1.5,1.4,1.4,1.4,1.6,1.2,0.8,0.8,1,1.4,1.7,2,2.2,2.1,1.5,1.7,1.5,1.4,1.5,1.4,1.3,1,1.1,1.4,1.6,1.8,2,2.2,2.1,1.7,1.6,1.6,1.5,1.5,1.4,1.4
21727.89325,49145.57791,86672.12004,160994.1116,272916.9311,228272.7031,217214.169,353036.6237,473580.6103,687236.8976,946201.8138,17189.1652,308516.2156,690541.8204,1045652.479,904922.0938,1122835.437,1230405.366,1526400.442,1838935.771,58238.58976,1512940.9,1831962.016,2504498.758,2352241.256,2172401.104,2180918.654,2116857.164,2373335.846,2682163.618,4005025.164,4310713.811,4941255.752,5277735.548,4523020.242,3940085.33,3287158.581,2870265.772,2966134.126,3349945.683,3892118.084,6519003.537,9134651.321,12664156.2,10401121.02,7739895.307,5918063.896,4353764.841,3141420.123,3142856.124,3708842.524,4948408.952,15937562.05,27314880.5,24359348.36,17937545.78,8081136.246,4507649.586,3362425.498,3141545.099,2648236.305,3125121.367,3647603.616,506000.5625,17316404.15,24875708.19,15014253.35,4257347.619,441495.1065,525039.7179,3114662.335,3414332.927,1313155.966,9044120.985,32452565.15,24113817.99,6421480.725,166946.1278,2669999.547,3050821.001,4129285.412,78923.63531,7955392.997,22878919.98,32786059.18,6562401.863,50875.52457,3000674.121,6524544.134,3687736.731,5150217.157,150752.1323,3678949.324,25073493.74,22061771.13,14886985.31,887533.7987,3045005.915,7430532.076,7252769.866,4155145.28,5960159.192,3651067.635,13315815.22,29006213.43,9598367.079,3959958.504,166347.0777,7648.457559,2291298.206,8399502.803,8499645.623,6530421.884,5276574.579,6157545.633,11107242.29,21455705.52,14880719.02,3199540.214,809717.2539,58404.48893,28114.0207,1474648.234,12127933.78,9125577.837,7546787.972,6643767.709,6006625.894,6025377.334,17122462.01,13145069.43,4580085.412,781886.7337,154785.7263,59646.53315,285360.4516,1967091.84,17651317.71,13691816.89,7906576.698,8041771.418,6759144.506,6356323.276,5756111.955,11871933.89,5154493.576,1299882.799,151382.323,97712.12129,201443.013,1336125.769,6432689.535,16218226.66,26768022.53,10311901.25,8650351.033,8341422.238,6686587.041,6554806.909,5346144.542,5299391.373,1703363.135,390366.0576,393944.8793,1304883.13,4555694.654,11510526.11,18635763.71,22522085.31,16935701.9,9646630.399,10046284.44,7768168.295,6846917.935,6392774.439,5043843.35,2387338.62,1261478.966,1840114.236,4246768.386,9312446.053,15576432.33,20472633.79,21424121.15,17956494.08,12469925.87,10223971.91,9773445.479,7199271.867,7059636.733,5827365.14,5035944.613
